name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Ecole primaire (kilunga) Sifa,-3.675,26.6775,,School,DRC_All_SCHool_Local,14.563124031483712,safe
Ecole primaire Kagolomba,-2.7705639,26.8965861,,School,DRC_All_SCHool_Local,21.675494882708488,safe
Ecole primaire Utukufu,-2.6357833,26.4396028,,School,DRC_All_SCHool_Local,18.8484137845431,safe
Ecole secondaire Inst Isalimia,-3.1793944,27.030775,,School,DRC_All_SCHool_Local,17.876366573444322,safe
Ecole secondaire Inst Kambili,-3.3874083,27.0525389,,School,DRC_All_SCHool_Local,16.300816804896513,safe
Ecole secondaire Inst Assia,-3.2986806,26.0827278,,School,DRC_All_SCHool_Local,34.45846589838182,safe
École primaire Wasezya,-2.9211167,27.1830306,,School,DRC_All_SCHool_Local,14.27401478284632,safe
Ecole secondaire Inst Lwamp,-2.8725528,27.1833778,,School,DRC_All_SCHool_Local,12.66839431297415,safe
Ecole primaire Ngoma / Samweli,-3.5417624,26.2896804,,School,DRC_All_SCHool_Local,47.396701366058586,safe
École primaire Miswaki,-2.9104611,27.1950944,,School,DRC_All_SCHool_Local,14.982575494196784,safe
Ecole secondaire Inst De Kayuyu,-3.6526167,26.3664417,,School,DRC_All_SCHool_Local,40.506705581514304,safe
École primaire Mankulu,-3.133275,26.3059056,,School,DRC_All_SCHool_Local,36.77663087242449,safe
Ecole primaire Lusukula,-2.7456479,26.9173163,,School,DRC_All_SCHool_Local,21.195096200656877,safe
Ecole primaire Lukumba,-3.0803528,27.0311389,,School,DRC_All_SCHool_Local,23.650655482408254,safe
Ecole primaire Kahundi,-2.6675917,26.8237111,,School,DRC_All_SCHool_Local,25.590218258404253,safe
Ecole primaire Kenye,-2.6464639,26.4738306,,School,DRC_All_SCHool_Local,18.178783508670033,safe
Ecole secondaire Bitingo,-3.1867139,26.7788694,,School,DRC_All_SCHool_Local,16.16228472033113,safe
Ecole secondaire Inst Mogoma,-3.2485722,27.0292167,,School,DRC_All_SCHool_Local,17.34715222490345,safe
Ecole primaire Kinamina,-3.0001568,26.3216083,,School,DRC_All_SCHool_Local,29.261014094037424,safe
Ecole secondaire Inst De Lomuna,-3.8032011,26.4547584,,School,DRC_All_SCHool_Local,40.464066431042646,safe
Ecole primaire Samweli,-3.5399933,26.2829916,,School,DRC_All_SCHool_Local,48.14309242450808,safe
Ecole primaire Bikili,-2.8705024,27.186915,,School,DRC_All_SCHool_Local,13.036514371496157,safe
Ecole primaire Kaliba,-3.6235121,26.3342456,,School,DRC_All_SCHool_Local,43.220048434841765,safe
