name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Lycée Utamaduni,0.0967,29.3108847,,School,DRC_All_SCHool_Local,2.1646902419211638,at-risk
Ita Pimbo,1.8449725,30.469903,,School,DRC_All_SCHool_Local,1.2771315511506824,at-risk
École primaire Maliese,0.6794444,29.4132222,,School,DRC_All_SCHool_Local,3.2479973726449227,at-risk
École Primaire Kyavisogho,0.32256,29.24796,,School,DRC_All_SCHool_Local,5.3064038476308575,at-risk
École Primaire Huruma,0.1059573,29.3059008,,School,DRC_All_SCHool_Local,1.3937967944903775,at-risk
Institut Kanyihunga,0.26545,29.25541,,School,DRC_All_SCHool_Local,4.0624594656216875,at-risk
École Primaire Kisoko,0.105567,29.3338,,School,DRC_All_SCHool_Local,2.548558394444055,at-risk
Matafu,1.1802778,30.0348611,,School,DRC_All_SCHool_Local,4.729485086871787,at-risk
Institut Malkia Wa Mbingu,0.1403447,29.2984572,,School,DRC_All_SCHool_Local,1.7191555938341379,at-risk
École Primaire Kavisa,0.0960643,29.3119258,,School,DRC_All_SCHool_Local,2.2233148433694083,at-risk
Institut Mihake,0.1616095,29.2966249,,School,DRC_All_SCHool_Local,1.9623740032549744,at-risk
École Primaire Quinze,0.3453451,29.2988919,,School,DRC_All_SCHool_Local,3.1544189727573113,at-risk
École Secondaire Nuru,0.1588669,29.3173891,,School,DRC_All_SCHool_Local,3.9131000866802195,at-risk
École Primaire Vukaka,0.087517,29.2995,,School,DRC_All_SCHool_Local,2.628904213318959,at-risk
École Primaire Vungi,0.1326196,29.2942679,,School,DRC_All_SCHool_Local,0.7984584813355968,at-risk
École Primaire Matanda,0.0951351,29.284722,,School,DRC_All_SCHool_Local,2.214044572836799,at-risk
École Primaire Misevere,0.238533,29.244533,,School,DRC_All_SCHool_Local,2.6630246547556564,at-risk
École Biblique Mutiri,0.138,29.307517,,School,DRC_All_SCHool_Local,2.379954101970506,at-risk
École Primaire et Secondaire Bashu,0.2947158,29.3148671,,School,DRC_All_SCHool_Local,0.3296860815379565,at-risk
Ecole Primaire Mahano,0.1569326,29.3342585,,School,DRC_All_SCHool_Local,4.425623265234149,at-risk
École Secondaire Vuhumbu,0.128167,29.310933,,School,DRC_All_SCHool_Local,1.379783701115823,at-risk
Institut Mgr Henri Pierrard,0.1249687,29.3041946,,School,DRC_All_SCHool_Local,1.4283026345552061,at-risk
Institut La Fraternité,0.1160127,29.3074266,,School,DRC_All_SCHool_Local,0.6636549921431123,at-risk
Ecole primaire Ngazi,0.4188331,29.1543505,,School,DRC_All_SCHool_Local,7.008361282841458,at-risk
Institut Kyavaghendi,0.0935478,29.3344255,,School,DRC_All_SCHool_Local,2.865963053590694,at-risk
École Primaire Bakita,0.0900312,29.2890793,,School,DRC_All_SCHool_Local,1.9236751778520509,at-risk
Kaswara,1.2398056,30.0991111,,School,DRC_All_SCHool_Local,3.3183319386278494,at-risk
École Primaire Musimba,0.093784,29.271547,,School,DRC_All_SCHool_Local,1.2204782290443323,at-risk
École secondaire Bulumbi,0.1101956,29.3006519,,School,DRC_All_SCHool_Local,1.5572653686569187,at-risk
École primaire Kyatsinge,0.111558,29.273888,,School,DRC_All_SCHool_Local,2.4896178601227286,at-risk
Lycée Butembo,0.1302413,29.3205563,,School,DRC_All_SCHool_Local,1.7720027776762677,at-risk
École Primaire Kabasha,0.2382722,29.2628214,,School,DRC_All_SCHool_Local,2.481270882269458,at-risk
École Primaire Bwinongo,0.0773186,29.2933537,,School,DRC_All_SCHool_Local,1.6258916872859395,at-risk
Ecole primaire Reginacaeli,0.16155,29.29455,,School,DRC_All_SCHool_Local,1.7902820316275212,at-risk
École Primaire Bulumbi,0.1105009,29.3010368,,School,DRC_All_SCHool_Local,1.5042977498800418,at-risk
École Primaire Rupaya,0.29928,29.2466,,School,DRC_All_SCHool_Local,3.268136805141496,at-risk
Institut Masiki,0.1207207,29.301918,,School,DRC_All_SCHool_Local,1.3797081252312662,at-risk
Ecole Secondaire Malevu,0.1371127,29.3343576,,School,DRC_All_SCHool_Local,3.3078639538866708,at-risk
Institut Nyalumenge,0.1348864,29.300083,,School,DRC_All_SCHool_Local,1.485491077226429,at-risk
École Primaire Kihinga,0.1285415,29.311101,,School,DRC_All_SCHool_Local,1.4171410353908171,at-risk
École Primaire Ahimidiwe,0.1291796,29.3112329,,School,DRC_All_SCHool_Local,1.4845448892267543,at-risk
École Primaire et Secondaire Sauvetage,0.14285,29.3,,School,DRC_All_SCHool_Local,2.016616101925315,at-risk
École Primaire Bubanda II,0.25191,29.24971,,School,DRC_All_SCHool_Local,3.7659392645203495,at-risk
InstIitut La Vérité,0.1175146,29.3183009,,School,DRC_All_SCHool_Local,0.570752272272634,at-risk
École Primaire Butuhe,0.21322,29.2716,,School,DRC_All_SCHool_Local,0.153368312804344,at-risk
École primaire et secondaire Ngazi,0.41551,29.16044,,School,DRC_All_SCHool_Local,7.4591931117469015,at-risk
École Primaire Kilalu,0.1335741,29.3204096,,School,DRC_All_SCHool_Local,2.1035472114528595,at-risk
Ecole Primaire et Secondaire Mbilinga,0.31562,29.21604,,School,DRC_All_SCHool_Local,3.8151168172446384,at-risk
Institut Katwa,0.09442,29.3139454,,School,DRC_All_SCHool_Local,2.400922658893212,at-risk
Institut Loyola,0.1061334,29.279711,,School,DRC_All_SCHool_Local,2.6886508847824535,at-risk
Gety,1.2078056,30.1823889,,School,DRC_All_SCHool_Local,0.9109283542202705,at-risk
École Primaire Advantiste Hekima,0.1119628,29.3124466,,School,DRC_All_SCHool_Local,0.4616777981710007,at-risk
École primaire Mayazola,0.71,29.5276944,,School,DRC_All_SCHool_Local,1.2810759693457265,at-risk
École primaire et secondaire Malondo,0.3982,29.19551,,School,DRC_All_SCHool_Local,5.799193592108599,at-risk
Ecole Secondaire Livate,0.1374657,29.3338323,,School,DRC_All_SCHool_Local,3.2952796656787022,at-risk
Institut Superieur Biblique de Katwa,0.0967715,29.3122177,,School,DRC_All_SCHool_Local,2.1426704153647207,at-risk
École Secondaire Hekima,0.2813,29.27207,,School,DRC_All_SCHool_Local,4.896682524885908,at-risk
École Primaire Kitulu,0.1248134,29.3034406,,School,DRC_All_SCHool_Local,1.478004170009855,at-risk
Ecole primaire et secondaire Visiki,0.395626,29.2244464,,School,DRC_All_SCHool_Local,4.336341772646776,at-risk
École Primaire Kirivata,0.1397258,29.2994804,,School,DRC_All_SCHool_Local,1.747988778247262,at-risk
École Primaire Menge,0.1359114,29.3011297,,School,DRC_All_SCHool_Local,1.6418412367850768,at-risk
Sorodo II,1.1455833,30.0242778,,School,DRC_All_SCHool_Local,2.0679908525076725,at-risk
École Primaire Nderembi,0.0985,29.30495,,School,DRC_All_SCHool_Local,2.161140837690089,at-risk
École primaire Mambombo,0.39947,29.19624,,School,DRC_All_SCHool_Local,5.6441403601376114,at-risk
École Primaire Hanga,0.12175,29.3217,,School,DRC_All_SCHool_Local,1.1228912351876372,at-risk
École primaire Katasohire,0.122759,29.3113087,,School,DRC_All_SCHool_Local,0.786024224893091,at-risk
Institut Ngununu,0.1400897,29.3068437,,School,DRC_All_SCHool_Local,2.4246857742068593,at-risk
Complexe Scolaire Vuvatsi,0.1383914,29.3074935,,School,DRC_All_SCHool_Local,2.396700993262899,at-risk
École Primaire Heri,0.1317531,29.3295763,,School,DRC_All_SCHool_Local,2.5107309613812565,at-risk
Institut Tuyitsinge,0.1521622,29.3078234,,School,DRC_All_SCHool_Local,2.7337915084153366,at-risk
École Primaire et Secondaire Mikala,0.32826,29.24898,,School,DRC_All_SCHool_Local,5.909726995160894,at-risk
École primaire et secondaire Vusamba,0.022115,29.161467,,School,DRC_All_SCHool_Local,3.5262808145394473,at-risk
École primaire et secondaire Musitu Et Mabwe,0.04176,29.064797,,School,DRC_All_SCHool_Local,1.1883703530365008,at-risk
École primaire Musasa,-0.077387,29.135341,,School,DRC_All_SCHool_Local,3.2609989703954985,at-risk
École primaire Musangalya,0.0776381,29.4096378,,School,DRC_All_SCHool_Local,2.6359410101081875,at-risk
École primaire Mavoghu,0.060722,29.058826,,School,DRC_All_SCHool_Local,0.8697280540375716,at-risk
Ecole primaire Muvugha,-0.0287,29.437877,,School,DRC_All_SCHool_Local,3.9627256951090852,at-risk
École primaire Kavasinza,0.086359,29.158882,,School,DRC_All_SCHool_Local,2.6824750274588967,at-risk
Église Primaire Magheria,0.0625326,29.3672841,,School,DRC_All_SCHool_Local,2.3006946995930626,at-risk
Ecole primaire et secondaire Burusi,-0.081114,29.453054,,School,DRC_All_SCHool_Local,4.946650086328244,at-risk
