name,latitude,longitude,location_name,type,source
École Primaire Mahero,0.1065092,29.2992114,,School,DRC_All_SCHool_Local
École secondaire Hanga,0.1217693,29.3220821,,School,DRC_All_SCHool_Local
École Secondaire Emmanuel,0.1287394,29.3113554,,School,DRC_All_SCHool_Local
École primaire Masimbembe,0.6108333,29.3121389,,School,DRC_All_SCHool_Local
Lycée Utamaduni,0.0967,29.3108847,,School,DRC_All_SCHool_Local
Ita Pimbo,1.8449725,30.469903,,School,DRC_All_SCHool_Local
École primaire Maliese,0.6794444,29.4132222,,School,DRC_All_SCHool_Local
École Primaire Kyavisogho,0.32256,29.24796,,School,DRC_All_SCHool_Local
École Primaire Huruma,0.1059573,29.3059008,,School,DRC_All_SCHool_Local
Institut Kanyihunga,0.26545,29.25541,,School,DRC_All_SCHool_Local
École Primaire Kisoko,0.105567,29.3338,,School,DRC_All_SCHool_Local
Matafu,1.1802778,30.0348611,,School,DRC_All_SCHool_Local
Institut Malkia Wa Mbingu,0.1403447,29.2984572,,School,DRC_All_SCHool_Local
École Primaire Kavisa,0.0960643,29.3119258,,School,DRC_All_SCHool_Local
Institut Mihake,0.1616095,29.2966249,,School,DRC_All_SCHool_Local
École Primaire Quinze,0.3453451,29.2988919,,School,DRC_All_SCHool_Local
École Secondaire Nuru,0.1588669,29.3173891,,School,DRC_All_SCHool_Local
École Primaire Vukaka,0.087517,29.2995,,School,DRC_All_SCHool_Local
École Primaire Vungi,0.1326196,29.2942679,,School,DRC_All_SCHool_Local
École Primaire Matanda,0.0951351,29.284722,,School,DRC_All_SCHool_Local
École Primaire Misevere,0.238533,29.244533,,School,DRC_All_SCHool_Local
École Biblique Mutiri,0.138,29.307517,,School,DRC_All_SCHool_Local
École Primaire et Secondaire Bashu,0.2947158,29.3148671,,School,DRC_All_SCHool_Local
Ecole Primaire Mahano,0.1569326,29.3342585,,School,DRC_All_SCHool_Local
École Secondaire Vuhumbu,0.128167,29.310933,,School,DRC_All_SCHool_Local
Institut Mgr Henri Pierrard,0.1249687,29.3041946,,School,DRC_All_SCHool_Local
Institut La Fraternité,0.1160127,29.3074266,,School,DRC_All_SCHool_Local
