osm_id,osm_type,latitude,longitude,FIXME,addr:city,addr:commune,addr:country,addr:county,addr:district,addr:full,addr:housename,addr:housenumber,addr:locality,addr:municipality,addr:parish,addr:postcode,addr:province,addr:quarter,addr:street,addr:subcounty,addr:subdistrict,addr:suburb,addr:village,addr:ward,alt_name,amenity,area,attribution,barrier,building,building:condition,building:floor,building:levels,building:material,building:min_level,cables,check:date,check_date,comment,contact:email,contact:facebook,contact:phone,contact:twitter,contact:website,date,denomination,description,education,email,fixme,frequency,grades,health_facility:CD,healthcare,height,id:uuid,is_in,is_in:admin_level4,is_in:admin_level6,is_in:admin_level7,is_in:admin_level8,is_in:educ_level6,is_in:health_level10,is_in:health_level6,is_in:health_level8,is_in:province,is_in:village,isced,isced:level,landuse,man_made,max_age,min_age,name,name:de,name:en,name:fr,name:hu,name:ln,note,note:de,office,official_name,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,project:oif-dfen_carteinnov,religion,school,school:CD,school:boarding,school:gender,short_name,source,source:alt_name,source:date,source:geometry,source:geometry:date,source:name,source:outline,source:position,source:ref,source_date,source_ref,start_date,strapline,surface,survey,survey:date,survey_date,toilets,type,vaccination,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia
1197330658,node,-11.949,27.5284444,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Fikupa,,,,,,,,,,,,,,1197330658,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330661,node,-11.6996667,27.4852778,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Mapatano I,,,,,,,,,,,,,,1197330661,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330662,node,-10.7866111,25.6186111,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Lumiere Du Christ,,,,,,,,,,,,,,1197330662,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330668,node,-10.8508759,25.4513542,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Lumière Du Christ 6,,,,,,,,,,,,,,1197330668,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330670,node,-10.9826944,26.7688056,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Matendo I,,,,,,,,,,,,,,1197330670,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330671,node,-11.6846667,27.4865,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Kamalondo III,,,,,,,,,,,,,,1197330671,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330672,node,-11.7110833,27.4548889,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Ciboko,,,,,,,,,,,,,,1197330672,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330674,node,-10.9863889,26.7937778,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Mwanzo,,,,,,,,,,,,,,1197330674,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330675,node,-11.6504722,27.3256389,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Mukoma,,,,,,,,,,,,,,1197330675,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330676,node,-10.9605278,26.7325833,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Nuru,,,,,,,,,,,,,,1197330676,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330681,node,-10.9871389,26.7807778,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Vumilia,,,,,,,,,,,,,,1197330681,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,limited,,,
1197330682,node,-11.70625,27.4837222,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Maua,,,,,,,,,,,,,,1197330682,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
