name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Complexe Scolaire Monano I,-4.3352131,15.3469375,at-risk,4.43,Strategic development,2024-01-03,6041492247
complexe scolaire serena,-4.3352559,15.3387889,at-risk,3.61,Strategic development,2024-01-03,6041516468
Saint Joseph de Cluny,-4.3392248,15.3473746,at-risk,4.66,Strategic development,2024-01-03,6043731754
Ecole Primaire Kiwanuka,-4.3381821,15.3462524,at-risk,4.5,Strategic development,2024-01-03,6043767829
Collège Saint Francois,-4.3379599,15.3455133,at-risk,4.42,Strategic development,2024-01-03,6043767831
Groupe Scolaire Dinanga,-4.3382915,15.3498973,at-risk,4.87,Strategic development,2024-01-03,6044078049
Complexe Scolaire Maman bien aimé,-4.3404151,15.3504833,at-risk,5.03,Strategic development,2024-01-03,6044105693
Complexe Scolaire Gloria,-4.3283366,15.3465139,at-risk,4.15,Strategic development,2024-01-03,6044159189
Complexe Scolaire The Winner's,-4.339365,15.3463878,at-risk,4.57,Strategic development,2024-01-03,6044190350
Complexe Scolaire La Grace,-4.3365751,15.3485133,at-risk,4.65,Strategic development,2024-01-03,6050630287
Complexe Scolaire Divine Charité,-4.3446147,15.3546951,at-risk,5.66,Strategic development,2024-01-03,6105710431
Unnamed School,-4.341418,15.3534687,at-risk,5.38,Strategic development,2024-01-03,6105748338
Le Prodige Divin,-4.3373125,15.3486152,at-risk,4.69,Strategic development,2024-01-03,6105989204
Saint Kizito,-4.3424457,15.3509232,at-risk,5.18,Strategic development,2024-01-03,6109085489
Ecole maternelle Saint Kizito,-4.343932,15.3521128,at-risk,5.37,Strategic development,2024-01-03,6109093818
Lycee Moderne le concept,-4.3437703,15.3516018,at-risk,5.32,Strategic development,2024-01-03,6109118472
C.S Pain de vie,-4.3502605,15.3573424,at-risk,6.24,Strategic development,2024-01-03,6113120205
Magnificate,-4.3434319,15.3478789,at-risk,4.94,Strategic development,2024-01-03,6113207115
College Royal,-4.3414126,15.3468463,at-risk,4.73,Strategic development,2024-01-03,6115470311
Complexe Scolaire Saint Jean Pierre Nzungu,-4.3452659,15.3535397,at-risk,5.59,Strategic development,2024-01-03,6115566229
College Père divin,-4.3464795,15.3520967,at-risk,5.52,Strategic development,2024-01-03,6115728656
Complexe scolaire Cyprien Isungu,-4.3455735,15.3542277,at-risk,5.67,Strategic development,2024-01-03,6115804064
Polytechnique,-4.3453849,15.3539367,at-risk,5.63,Strategic development,2024-01-03,6115804065
Institut Saint Jean Baptiste,-4.3224751,15.3051724,at-risk,0.6,Strategic development,2024-01-03,6282653585
CS Makilu,-4.3907638,15.3539515,at-risk,9.26,Strategic development,2024-01-03,6293490339
École Samuzulu,-4.3930102,15.3574491,at-risk,9.67,Strategic development,2024-01-03,6293491314
Collège Saint Albert,-4.4030229,15.3427935,at-risk,9.92,Strategic development,2024-01-03,6293491340
CE Angelia,-4.3913415,15.3537369,at-risk,9.3,Strategic development,2024-01-03,6293492138
Complexe Scolaire Akiva,-4.4031726,15.3368497,at-risk,9.72,Strategic development,2024-01-03,6293492139
Ecole CELAM,-4.3689067,15.2851633,at-risk,6.1,Strategic development,2024-01-03,6341179972
École Supérieure de Management de Kinshasa,-4.3636255,15.2490127,at-risk,8.32,Strategic development,2024-01-03,6415551388
Complexe Scolaire Saint Joseph de Cuneo,-4.40115,15.2960299,at-risk,9.16,Strategic development,2024-01-03,6419120290
EP Lutangu,-4.3561865,15.3626605,at-risk,7.09,Strategic development,2024-01-03,6581404740
E.P.5 Camp Kabila,-4.3887724,15.3380101,at-risk,8.25,Strategic development,2024-01-03,6581477267
Institut Lumumba,-4.3745331,15.3478602,at-risk,7.38,Strategic development,2024-01-03,6581485353
Beka,-4.3970314,15.3521079,at-risk,9.76,Strategic development,2024-01-03,6581608784
École les Béatitudes,-4.3902931,15.3588867,at-risk,9.51,Strategic development,2024-01-03,6583776012
collège saint Gervais,-4.3726092,15.3791659,at-risk,9.65,Strategic development,2024-01-03,6583975585
Collège Saint Jean Apôtre,-4.3801881,15.3607727,at-risk,8.75,Strategic development,2024-01-03,6584026391
Institut Loboko,-4.3799523,15.3608866,at-risk,8.73,Strategic development,2024-01-03,6584026400
Complexe Scolaire la Maintenance,-4.3794782,15.3610417,at-risk,8.7,Strategic development,2024-01-03,6584026403
Ecole Armée du Salut,-4.3708504,15.373195,at-risk,9.0,Strategic development,2024-01-03,6584448787
Ecole Republicain 2,-4.3658813,15.3697443,at-risk,8.36,Strategic development,2024-01-03,6584448812
Ecole la Fortune,-4.3704366,15.3745401,at-risk,9.09,Strategic development,2024-01-03,6584448855
Ecole Bilingue,-4.3744823,15.371182,at-risk,9.09,Strategic development,2024-01-03,6584448930
Collège Don Frédéric,-4.3721504,15.37729,at-risk,9.45,Strategic development,2024-01-03,6584448934
Complexe Scolaire Makuala,-4.4009717,15.3477998,at-risk,9.93,Strategic development,2024-01-03,6588613214
Sainte Marie Faustine,-4.3966803,15.3479836,at-risk,9.51,Strategic development,2024-01-03,6588718345
Complexe Scolaire Diyavanga,-4.3746507,15.3741592,at-risk,9.36,Strategic development,2024-01-03,6660651736
C.S. Bukama,-4.3432273,15.2739465,at-risk,4.76,Strategic development,2024-01-03,6853565957
École Le Rocher,-4.3926091,15.351921,at-risk,9.32,Strategic development,2024-01-03,6915707865
École Malandi II,-4.3931105,15.3529698,at-risk,9.42,Strategic development,2024-01-03,6915707866
Ecole Père Damien,-4.3703637,15.3691448,at-risk,8.62,Strategic development,2024-01-03,6937620709
C.S Outres neuves Academie,-4.3442302,15.2833986,at-risk,3.99,Strategic development,2024-01-03,6939161814
Campus Universitaire du Lac,-1.6775415,29.2167944,at-risk,0.91,Battle,2024-01-01,7077075886
UNIGOM,-1.677355,29.2166729,at-risk,0.9,Battle,2024-01-01,7077077286
ISM,-2.5006292,28.8805823,at-risk,3.4,Violence against civilians,2024-01-02,7139744385
Ecole St Ubald,-1.6387598,29.2065337,at-risk,3.78,Battle,2024-01-01,7149683336
École Secondaire Kibali,-1.6362286,29.2046189,at-risk,4.13,Battle,2024-01-01,7149683337
Complexe SColaire Elim,-1.6372467,29.206,at-risk,3.96,Battle,2024-01-01,7149683338
Ecole Primaire A Melissa,-1.6408592,29.2043654,at-risk,3.68,Battle,2024-01-01,7149683340
Comlexe Scolaire la source,-1.6374533,29.2031217,at-risk,4.08,Battle,2024-01-01,7149683341
Complexe Scolaire Musamariya Mwema,-1.637475,29.2024817,at-risk,4.11,Battle,2024-01-01,7149683342
Institut Kisima,-1.6414274,29.2059281,at-risk,3.54,Battle,2024-01-01,7149683343
